"therapy","from_state","to_state","probability","note"
"UST","Moderate-Severe","Moderate-Severe",1,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe","Moderate-Severe Responder",0,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe","Mild",0,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe","Remission",0,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe","Surgery",0,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe","Death",0,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe Responder","Moderate-Severe",0.323708119137088,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe Responder","Moderate-Severe Responder",0.30321326492702,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe Responder","Mild",0.304043881907668,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
"UST","Moderate-Severe Responder","Remission",0.059892784565166,"8-week probability computed via M_2wk^4 (Chapman-Kolmogorov) from Aliyev et al. 2019 Appendix S2, Supplementary Table 4 (2-week cycle, verified against the table image). Moderate-Severe treated as absorbing for biologic arms (they exit to the CT track in this study's model, analysis_plan.md §6.1; not a value Aliyev reports)."
