description,parameter,base_case_value,distribution,alpha,beta,reference_source
UST Induction Trial Endpoint Proportion,UST Week 6 Response Probability,0.56,Beta,116,93,12
UST Induction Trial Endpoint Ratio,UST Week 6 Remitter:Responder Ratio,0.63,Uniform,0.50,0.76,12
ADA Induction Trial Endpoint Proportion,ADA Week 4 Response Probability,0.5,Beta,38,38,21
ADA Induction Trial Endpoint Ratio,ADA Week 4 Remitter:Responder Ratio,0.72,Uniform,0.58,0.86,21
IFX Efficacy Ratio,IFX:ADA Efficacy Ratio,1.00,Uniform,0.8,1.2,"Assumed, 13"
Induction Adjustment Ratio for Indirect Comparison,IFX Induction Remission Adjustment Ratio,1.016,Uniform,0.81,1.22,"12, 21"
Induction Adjustment Ratio for Indirect Comparison,IFX Induction Responder Adjustment Ratio,0.56,Uniform,0.45,0.67,"12, 21"
Induction Adjustment Ratio for Indirect Comparison,ADA Induction Remission Adjustment Ratio,1.016,Uniform,0.81,1.22,"12, 21"
Induction Adjustment Ratio for Indirect Comparison,ADA Induction Responder Adjustment Ratio,0.56,Uniform,0.45,0.67,"12, 21"
UST Maintenance Trial Endpoint Proportion,UST Week 44 Remission Probability in Patients in Remission at Baseline,0.67,Beta,52,26,12
UST Maintenance Trial Endpoint Proportion,UST Week 44 Remission Probability in Patients Not in Remission at Baseline,0.32,Beta,16,34,12
UST Maintenance Trial Endpoint Proportion,UST Week 44 Response Probability,0.59,Beta,76,52,12
UST Maintenance Trial Endpoint Ratio,UST Week 44 Remitter:Responder Ratio,0.89,Uniform,0.81,0.98,12
IFX Maintenance Trial Endpoint Proportion,IFX Week 52 Response Probability,0.39,Beta,44,69,23
IFX Maintenance Trial Endpoint Ratio,IFX Week 52 Remitter:Responder Ratio,0.72,Uniform,0.58,0.87,23
Maintenance Adjustment Ratio for Indirect Comparison,IFX Maintenance Remission to Remission Adjustment Ratio,0.73,Uniform,0.58,0.88,"12, 23"
Maintenance Adjustment Ratio for Indirect Comparison,IFX Maintenance Mild to Remission Adjustment Ratio,3.43,Uniform,2.74,4.12,"12, 23"
Maintenance Adjustment Ratio for Indirect Comparison,IFX Maintenance Responder Adjustment Ratio,0.81,Uniform,0.65,0.97,"12, 23"
ADA Maintenance Trial Endpoint Proportion,ADA Week 52 Remission Probability in Patients in Remission at Week 22,0.81,Beta,56,16,22
ADA Maintenance Trial Endpoint Proportion,ADA Week 52 Remission Probability in Patients Not in Remission at Week 22,0.06,Beta,6,94,22
ADA Maintenance Trial Endpoint Proportion,ADA Week 52 Response Probability,0.41,Beta,71,101,22
ADA Maintenance Trial Endpoint Ratio,ADA Week 52 Remitter:Responder Ratio,0.87,Uniform,0.79,0.96,22
Maintenance Adjustment Ratio for Indirect Comparison,ADA Maintenance Remission to Remission Adjustment Ratio,0.73,Uniform,0.58,0.88,"12, 22"
Maintenance Adjustment Ratio for Indirect Comparison,ADA Maintenance Mild to Remission Adjustment Ratio,3.43,Uniform,2.74,4.12,"12, 22"
