phase,treatment,from_state,to_state,probability
maintenance,UST,Moderate-Severe Responder,Moderate-Severe,0.0942
maintenance,UST,Moderate-Severe Responder,Moderate-Severe Responder,0.441
maintenance,UST,Moderate-Severe Responder,Mild,0.441
maintenance,UST,Moderate-Severe Responder,Remission,0
maintenance,UST,Moderate-Severe Responder,Surgery,0.0238
maintenance,UST,Moderate-Severe Responder,Death,0.00006
maintenance,UST,Mild,Moderate-Severe,0.1007
maintenance,UST,Mild,Moderate-Severe Responder,0.441
maintenance,UST,Mild,Mild,0.441
maintenance,UST,Mild,Remission,0.0173
maintenance,UST,Mild,Surgery,0
maintenance,UST,Mild,Death,0.00006
maintenance,UST,Remission,Moderate-Severe,0
maintenance,UST,Remission,Moderate-Severe Responder,0
maintenance,UST,Remission,Mild,0.0182
maintenance,UST,Remission,Remission,0.982
maintenance,UST,Remission,Surgery,0
maintenance,UST,Remission,Death,0.00006
maintenance,UST,Surgery,Moderate-Severe,0.0153
maintenance,UST,Surgery,Moderate-Severe Responder,0.010
maintenance,UST,Surgery,Mild,0.010
maintenance,UST,Surgery,Remission,0.868
maintenance,UST,Surgery,Surgery,0.0976
maintenance,UST,Surgery,Death,0.00006
maintenance,UST,Death,Moderate-Severe,0
maintenance,UST,Death,Moderate-Severe Responder,0
maintenance,UST,Death,Mild,0
maintenance,UST,Death,Remission,0
maintenance,UST,Death,Surgery,0
maintenance,UST,Death,Death,1
maintenance,IFX,Moderate-Severe Responder,Moderate-Severe,0.0434
maintenance,IFX,Moderate-Severe Responder,Moderate-Severe Responder,0.466
maintenance,IFX,Moderate-Severe Responder,Mild,0.466
maintenance,IFX,Moderate-Severe Responder,Remission,0
maintenance,IFX,Moderate-Severe Responder,Surgery,0.0238
maintenance,IFX,Moderate-Severe Responder,Death,0.00006
maintenance,IFX,Mild,Moderate-Severe,0.0532
maintenance,IFX,Mild,Moderate-Severe Responder,0.466
maintenance,IFX,Mild,Mild,0.466
maintenance,IFX,Mild,Remission,0.01405
maintenance,IFX,Mild,Surgery,0
maintenance,IFX,Mild,Death,0.00006
