age_band,age_low,age_high,sex,mean_utility,n,source,source_url,note
<25,0,24,male,0.906,54,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Table (face-to-face sample, the paper's primary/recommended norms, not the online comparison sample). US value set (composite time trade-off, cTTO), range -0.573 to 1.0. Age band <25 used for cycles/ages below 25; this project's cohort baseline age is 35 (Aliyev), so this row is out-of-range for the base case but included for completeness/a younger sub-population sensitivity check."
<25,0,24,female,0.931,53,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"See male <25 row's note."
25-34,25,34,male,0.907,118,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
25-34,25,34,female,0.916,130,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
35-44,35,44,male,0.841,86,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample. Contains this project's cohort baseline age (35, Aliyev) -- the reference age band for the 6.15-year/10-year (non-aging) horizons."
35-44,35,44,female,0.845,95,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
45-54,45,54,male,0.825,110,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
45-54,45,54,female,0.807,102,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
55-64,55,64,male,0.807,91,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
55-64,55,64,female,0.827,67,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
65-74,65,74,male,0.827,70,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
65-74,65,74,female,0.821,57,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
75+,75,999,male,0.786,35,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample. age_high=999 is this table's own terminal open-ended bucket (matches nchs_us_life_tables_2021.csv's own '100 and older' convention), not a modelling choice."
75+,75,999,female,0.825,61,"Jiang R, Janssen MFB, Pickard AS. US population norms for the EQ-5D-5L and comparison of norms from face-to-face and online samples. Qual Life Res. 2021;30(3):803-816.",https://doi.org/10.1007/s11136-020-02650-y,"Face-to-face sample."
