"age","qx_male","qx_female"
0,0.005833,0.005040
1,0.000416,0.000389
2,0.000274,0.000234
3,0.000224,0.000158
4,0.000175,0.000147
5,0.000161,0.000124
6,0.000149,0.000109
7,0.000137,0.000100
8,0.000119,0.000094
9,0.000098,0.000093
10,0.000084,0.000096
11,0.000093,0.000107
12,0.000144,0.000128
13,0.000248,0.000160
14,0.000392,0.000201
15,0.000556,0.000247
16,0.000719,0.000297
17,0.000885,0.000349
18,0.001044,0.000403
19,0.001199,0.000459
20,0.001361,0.000520
21,0.001527,0.000584
22,0.001678,0.000641
23,0.001805,0.000690
24,0.001915,0.000733
25,0.002015,0.000774
26,0.002116,0.000820
27,0.002221,0.000876
28,0.002334,0.000946
29,0.002451,0.001026
30,0.002569,0.001111
31,0.002682,0.001194
32,0.002789,0.001275
33,0.002887,0.001354
34,0.002982,0.001433
35,0.003081,0.001518
36,0.003190,0.001611
37,0.003310,0.001709
38,0.003446,0.001814
39,0.003597,0.001925
40,0.003772,0.002048
41,0.003964,0.002183
42,0.004158,0.002321
43,0.004353,0.002461
44,0.004560,0.002611
45,0.004799,0.002784
46,0.005090,0.002984
47,0.005431,0.003203
48,0.005818,0.003436
49,0.006241,0.003680
50,0.006679,0.003935
51,0.007151,0.004217
52,0.007690,0.004544
53,0.008316,0.004928
54,0.009023,0.005361
55,0.009754,0.005809
56,0.010510,0.006274
57,0.011350,0.006795
58,0.012285,0.007383
59,0.013286,0.008020
60,0.014341,0.008703
61,0.015402,0.009396
62,0.016437,0.010066
63,0.017445,0.010706
64,0.018475,0.011354
65,0.019576,0.012041
66,0.020927,0.012880
67,0.022303,0.013821
68,0.023804,0.014915
69,0.025383,0.016188
70,0.026908,0.017475
71,0.028704,0.018964
72,0.030788,0.020616
73,0.033361,0.022603
74,0.035944,0.024647
75,0.040497,0.027933
76,0.044053,0.030922
77,0.048810,0.034536
78,0.053173,0.037857
79,0.058908,0.041967
80,0.063954,0.046336
81,0.070311,0.051084
82,0.076958,0.056608
83,0.084813,0.062881
84,0.094500,0.070582
85,0.104319,0.079149
86,0.116428,0.087870
87,0.129619,0.098712
88,0.143910,0.110635
89,0.159317,0.123686
90,0.175874,0.137893
91,0.193369,0.153272
92,0.211919,0.169816
93,0.231379,0.187493
94,0.251638,0.206246
95,0.272559,0.225991
96,0.293988,0.246613
97,0.315751,0.267972
98,0.337666,0.289905
99,0.359544,0.312227
100,1.000000,1.000000
