therapy,scenario,from_state,to_state,probability_per_8wk_cycle,variable_name
TREG,base,Mod/Sev,Mod/Sev,0.33680000000000004,p_treg_modsev_nonresp
TREG,alpha,Mod/Sev,Mod/Sev,0.37890000000000007,p_treg_alpha_modsev_nonresp
TREG,beta,Mod/Sev,Mod/Sev,0.2947,p_treg_beta_modsev_nonresp
TREG,base,Mod/Sev,Mod/Sev Response,0.07079999999999997,p_treg_modsev_resp
TREG,alpha,Mod/Sev,Mod/Sev Response,0.07964999999999997,p_treg_alpha_modsev_resp
TREG,beta,Mod/Sev,Mod/Sev Response,0.06194999999999997,p_treg_beta_modsev_resp
TREG,base,Mod/Sev,Mild,0.10688562691131495,p_treg_modsev_mild
TREG,alpha,Mod/Sev,Mild,0.09769281345565746,p_treg_alpha_modsev_mild
TREG,beta,Mod/Sev,Mild,0.11607844036697244,p_treg_beta_modsev_mild
TREG,base,Mod/Sev,Remission,0.48551437308868506,p_treg_modsev_remission
TREG,alpha,Mod/Sev,Remission,0.44375718654434254,p_treg_alpha_modsev_remission
TREG,beta,Mod/Sev,Remission,0.5272715596330275,p_treg_beta_modsev_remission
TREG,base,Mod/Sev,Surgery,0,p_treg_modsev_surgery
TREG,alpha,Mod/Sev,Surgery,0,p_treg_alpha_modsev_surgery
TREG,beta,Mod/Sev,Surgery,0,p_treg_beta_modsev_surgery
TREG,base,Mod/Sev,Death,0,p_treg_modsev_death
TREG,alpha,Mod/Sev,Death,0,p_treg_alpha_modsev_death
TREG,beta,Mod/Sev,Death,0,p_treg_beta_modsev_death
TREG,base,Mod/Sev Response,Mod/Sev,0.112940092,p_treg_resp_nonresp
TREG,alpha,Mod/Sev Response,Mod/Sev,0.1275635648375807,p_treg_alpha_resp_nonresp
TREG,beta,Mod/Sev Response,Mod/Sev,0.0984321640727384,p_treg_beta_resp_nonresp
TREG,base,Mod/Sev Response,Mod/Sev Response,0.311776117,p_treg_resp_resp
TREG,alpha,Mod/Sev Response,Mod/Sev Response,0.3521448612999336,p_treg_alpha_resp_resp
TREG,beta,Mod/Sev Response,Mod/Sev Response,0.2717263413654234,p_treg_beta_resp_resp
TREG,base,Mod/Sev Response,Mild,0.503831896,p_treg_resp_mild
TREG,alpha,Mod/Sev Response,Mild,0.4485551473778602,p_treg_alpha_resp_mild
TREG,beta,Mod/Sev Response,Mild,0.5586718832206162,p_treg_beta_resp_mild
TREG,base,Mod/Sev Response,Remission,0.039663485,p_treg_resp_remission
TREG,alpha,Mod/Sev Response,Remission,0.03982143029321302,p_treg_alpha_resp_remission
TREG,beta,Mod/Sev Response,Remission,0.03950678694075895,p_treg_beta_resp_remission
